tool,period_start,period_end,granularity,total_count,url
Claude (co-author),2025-09-29,2025-10-05,weekly,180773,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2025-09-29..2025-10-05&type=commits
Claude (co-author),2025-10-06,2025-10-12,weekly,195601,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2025-10-06..2025-10-12&type=commits
Claude (co-author),2025-10-13,2025-10-19,weekly,201619,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2025-10-13..2025-10-19&type=commits
Claude (co-author),2025-10-20,2025-10-26,weekly,274352,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2025-10-20..2025-10-26&type=commits
Claude (co-author),2025-10-27,2025-11-02,weekly,266277,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2025-10-27..2025-11-02&type=commits
Claude (co-author),2025-11-03,2025-11-09,weekly,258298,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2025-11-03..2025-11-09&type=commits
Claude (co-author),2025-11-10,2025-11-16,weekly,278572,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2025-11-10..2025-11-16&type=commits
Claude (co-author),2025-11-17,2025-11-23,weekly,269754,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2025-11-17..2025-11-23&type=commits
Claude (co-author),2025-11-24,2025-11-30,weekly,292081,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2025-11-24..2025-11-30&type=commits
Claude (co-author),2025-12-01,2025-12-07,weekly,313786,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2025-12-01..2025-12-07&type=commits
Claude (co-author),2025-12-08,2025-12-14,weekly,319290,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2025-12-08..2025-12-14&type=commits
Claude (co-author),2025-12-15,2025-12-21,weekly,343700,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2025-12-15..2025-12-21&type=commits
Claude (co-author),2025-12-22,2025-12-28,weekly,369278,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2025-12-22..2025-12-28&type=commits
Claude (co-author),2025-12-29,2026-01-04,weekly,488479,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2025-12-29..2026-01-04&type=commits
Claude (co-author),2026-01-05,2026-01-11,weekly,608733,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2026-01-05..2026-01-11&type=commits
Claude (co-author),2026-01-12,2026-01-18,weekly,720795,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2026-01-12..2026-01-18&type=commits
Claude (co-author),2026-01-19,2026-01-25,weekly,836286,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2026-01-19..2026-01-25&type=commits
Claude (co-author),2026-01-26,2026-02-01,weekly,922208,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2026-01-26..2026-02-01&type=commits
Claude (co-author),2026-02-02,2026-02-08,weekly,1077342,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2026-02-02..2026-02-08&type=commits
Claude (co-author),2026-02-09,2026-02-15,weekly,1201150,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2026-02-09..2026-02-15&type=commits
Claude (co-author),2026-02-16,2026-02-22,weekly,1464164,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2026-02-16..2026-02-22&type=commits
Claude (co-author),2026-02-23,2026-03-01,weekly,1687549,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2026-02-23..2026-03-01&type=commits
Claude (co-author),2026-03-02,2026-03-08,weekly,1808435,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2026-03-02..2026-03-08&type=commits
Claude (co-author),2026-03-09,2026-03-15,weekly,2062166,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2026-03-09..2026-03-15&type=commits
Claude (co-author),2026-03-16,2026-03-22,weekly,2618295,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2026-03-16..2026-03-22&type=commits
Claude (co-author),2026-03-23,2026-03-27,weekly,1904891,https://github.com/search?q=Co-Authored-By%3A+Claude+author-date%3A2026-03-23..2026-03-27&type=commits
GitHub Copilot (co-author),2025-09-29,2025-10-05,weekly,15978,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2025-09-29..2025-10-05&type=commits
GitHub Copilot (co-author),2025-10-06,2025-10-12,weekly,16756,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2025-10-06..2025-10-12&type=commits
GitHub Copilot (co-author),2025-10-13,2025-10-19,weekly,17761,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2025-10-13..2025-10-19&type=commits
GitHub Copilot (co-author),2025-10-20,2025-10-26,weekly,19159,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2025-10-20..2025-10-26&type=commits
GitHub Copilot (co-author),2025-10-27,2025-11-02,weekly,18458,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2025-10-27..2025-11-02&type=commits
GitHub Copilot (co-author),2025-11-03,2025-11-09,weekly,21461,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2025-11-03..2025-11-09&type=commits
GitHub Copilot (co-author),2025-11-10,2025-11-16,weekly,21856,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2025-11-10..2025-11-16&type=commits
GitHub Copilot (co-author),2025-11-17,2025-11-23,weekly,22200,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2025-11-17..2025-11-23&type=commits
GitHub Copilot (co-author),2025-11-24,2025-11-30,weekly,20610,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2025-11-24..2025-11-30&type=commits
GitHub Copilot (co-author),2025-12-01,2025-12-07,weekly,22033,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2025-12-01..2025-12-07&type=commits
GitHub Copilot (co-author),2025-12-08,2025-12-14,weekly,21719,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2025-12-08..2025-12-14&type=commits
GitHub Copilot (co-author),2025-12-15,2025-12-21,weekly,18234,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2025-12-15..2025-12-21&type=commits
GitHub Copilot (co-author),2025-12-22,2025-12-28,weekly,14587,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2025-12-22..2025-12-28&type=commits
GitHub Copilot (co-author),2025-12-29,2026-01-04,weekly,16063,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2025-12-29..2026-01-04&type=commits
GitHub Copilot (co-author),2026-01-05,2026-01-11,weekly,19639,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2026-01-05..2026-01-11&type=commits
GitHub Copilot (co-author),2026-01-12,2026-01-18,weekly,19538,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2026-01-12..2026-01-18&type=commits
GitHub Copilot (co-author),2026-01-19,2026-01-25,weekly,21157,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2026-01-19..2026-01-25&type=commits
GitHub Copilot (co-author),2026-01-26,2026-02-01,weekly,20776,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2026-01-26..2026-02-01&type=commits
GitHub Copilot (co-author),2026-02-02,2026-02-08,weekly,22850,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2026-02-02..2026-02-08&type=commits
GitHub Copilot (co-author),2026-02-09,2026-02-15,weekly,30818,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2026-02-09..2026-02-15&type=commits
GitHub Copilot (co-author),2026-02-16,2026-02-22,weekly,63050,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2026-02-16..2026-02-22&type=commits
GitHub Copilot (co-author),2026-02-23,2026-03-01,weekly,72061,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2026-02-23..2026-03-01&type=commits
GitHub Copilot (co-author),2026-03-02,2026-03-08,weekly,80748,https://github.com/search?q=Co-Authored-By%3A+GitHub+Copilot+author-date%3A2026-03-02..2026-03-08&type=commits
